condition,entities,clusters,method,replications,rejections,rejection_rate,wilson_low,wilson_high,mean_score,empirical_score_sd,mean_reported_se,mean_statistic,sd_statistic
gaussian_null,128,25,distinct_reference_finite,300,0,0.0,8.673617379884035e-19,0.012642971224546034,-5.987347945016585e-05,0.0008286527872083434,,,
gaussian_null,128,25,distinct_reference_normal,300,17,0.056666666666666664,0.03567747646328951,0.08886595802247463,-5.987347945016585e-05,0.0008286527872083434,0.000796594641358745,-0.06660180363166496,1.077336674343247
gaussian_null,128,25,naive_normal,300,37,0.12333333333333334,0.09081731429366795,0.1653737240288234,0.00027901120843825593,0.000836367105494392,0.0008039542499394256,0.36717734479096975,1.0831647994614395
gaussian_null,128,100,distinct_reference_finite,300,0,0.0,8.673617379884035e-19,0.012642971224546034,5.091538140877014e-06,0.00038865172648343293,,,
gaussian_null,128,100,distinct_reference_normal,300,13,0.043333333333333335,0.025496448084407246,0.07271746563401146,5.091538140877014e-06,0.00038865172648343293,0.0004031765129564101,0.006966007625273306,0.9679513296811415
gaussian_null,128,100,naive_normal,300,61,0.20333333333333334,0.16167385164165787,0.25249431128490607,0.0003448180649277583,0.0003923227506774375,0.00040688496530626525,0.8465011096926524,0.9645916780907126
gaussian_null,128,400,distinct_reference_finite,300,0,0.0,8.673617379884035e-19,0.012642971224546034,-7.501240210954797e-06,0.0002091066147227516,,,
gaussian_null,128,400,distinct_reference_normal,300,16,0.05333333333333334,0.03309191251909646,0.08486914177483133,-7.501240210954797e-06,0.0002091066147227516,0.0002025861198318608,-0.03432533819410468,1.0342827383311313
gaussian_null,128,400,naive_normal,300,142,0.47333333333333333,0.4175289979894712,0.5298119604758378,0.0003319355608704004,0.00021094101931478908,0.00020446186018424221,1.6282901416842914,1.0398793969270823
interaction_copy,8,25,distinct_reference_finite,300,0,0.0,8.673617379884035e-19,0.012642971224546034,-0.000177311741018464,0.002902111484738402,,,
interaction_copy,8,25,distinct_reference_normal,300,22,0.07333333333333333,0.04892399383922859,0.10853134160571733,-0.000177311741018464,0.002902111484738402,0.0026295819033743282,-0.07728318281663642,1.14405829734956
interaction_copy,8,25,naive_normal,300,285,0.95,0.9191529665272558,0.9694683593706526,0.009492586218165204,0.00288364633851504,0.002722411446904711,3.5460398931552315,1.1565349691451177
interaction_copy,8,100,distinct_reference_finite,300,0,0.0,8.673617379884035e-19,0.012642971224546034,-4.0022856752337997e-05,0.0014237890576195389,,,
interaction_copy,8,100,distinct_reference_normal,300,16,0.05333333333333334,0.03309191251909646,0.08486914177483133,-4.0022856752337997e-05,0.0014237890576195389,0.00134431246887973,-0.03374223999191727,1.0664884779520074
interaction_copy,8,100,naive_normal,300,300,1.0,0.9873570287754538,0.9999999999999998,0.009656306508327021,0.0014236200262905585,0.0013942642031932373,6.959952162271177,1.119843061610437
interaction_copy,8,400,distinct_reference_finite,300,0,0.0,8.673617379884035e-19,0.012642971224546034,-1.3755418026023305e-05,0.0006448319148774552,,,
