suite,setting,regime,signal_delta,legacy_metric,overlap,N,T,rejections,replicates,rate,wilson95_low,wilson95_high
generalization,GCM fine,heavy_tail,0.0,typeI,0.65,120,100,28,150,0.18666666666666668,0.13242415483319162,0.2565571983041365
generalization,GCM fine,heavy_tail,0.15,power,0.65,120,100,149,150,0.9933333333333333,0.9632071602251817,0.9988221986649826
generalization,GCM fine,smooth,0.0,typeI,0.8,120,100,36,150,0.24,0.17869313331595332,0.31429139375544646
generalization,GCM fine,smooth,0.15,power,0.8,120,100,150,150,1.0,0.9750297556319235,1.0
generalization,GCM fine,nonlinear,0.0,typeI,0.8,120,100,150,150,1.0,0.9750297556319235,1.0
generalization,GCM fine,nonlinear,0.15,power,0.8,120,100,150,150,1.0,0.9750297556319235,1.0
generalization,GCM fine,large_n,0.0,typeI,0.8,160,160,17,80,0.2125,0.13712386717696146,0.31422155730596657
generalization,GCM fine,large_n,0.15,power,0.8,160,160,80,80,1.0,0.9541818704644728,0.9999999999999999
generalization,GCM fine,heavy_tail,0.0,typeI,0.8,120,100,30,150,0.2,0.14384081582284963,0.27114133079799635
generalization,GCM fine,heavy_tail,0.15,power,0.8,120,100,149,150,0.9933333333333333,0.9632071602251817,0.9988221986649826
generalization,GCM fine,smooth,0.0,typeI,0.9,120,100,41,150,0.2733333333333333,0.20834143203423522,0.34964507874595946
generalization,GCM fine,smooth,0.15,power,0.9,120,100,150,150,1.0,0.9750297556319235,1.0
generalization,GCM fine,nonlinear,0.0,typeI,0.9,120,100,150,150,1.0,0.9750297556319235,1.0
generalization,GCM fine,nonlinear,0.15,power,0.9,120,100,150,150,1.0,0.9750297556319235,1.0
generalization,GCM fine,large_n,0.0,typeI,0.9,160,160,18,80,0.225,0.14733207340846635,0.3278678978360735
generalization,GCM fine,large_n,0.15,power,0.9,160,160,80,80,1.0,0.9541818704644728,0.9999999999999999
generalization,GCM fine,heavy_tail,0.0,typeI,0.9,120,100,33,150,0.22,0.16116023701753923,0.29282309982858373
generalization,GCM fine,heavy_tail,0.15,power,0.9,120,100,149,150,0.9933333333333333,0.9632071602251817,0.9988221986649826
generalization,GCM fine,smooth,0.0,typeI,0.95,120,100,39,150,0.26,0.19642138912816148,0.3355643281685153
generalization,GCM fine,smooth,0.15,power,0.95,120,100,150,150,1.0,0.9750297556319235,1.0
generalization,GCM fine,nonlinear,0.0,typeI,0.95,120,100,150,150,1.0,0.9750297556319235,1.0
generalization,GCM fine,nonlinear,0.15,power,0.95,120,100,150,150,1.0,0.9750297556319235,1.0
generalization,GCM fine,large_n,0.0,typeI,0.95,160,160,19,80,0.2375,0.15764672866774618,0.34140778933840543
generalization,GCM fine,large_n,0.15,power,0.95,160,160,80,80,1.0,0.9541818704644728,0.9999999999999999
generalization,GCM fine,heavy_tail,0.0,typeI,0.95,120,100,34,150,0.22666666666666666,0.1669817942684841,0.3000019393193978
generalization,GCM fine,heavy_tail,0.15,power,0.95,120,100,149,150,0.9933333333333333,0.9632071602251817,0.9988221986649826
generalization,linear,smooth,0.0,typeI,0.5,120,100,135,150,0.9,0.8415651883318529,0.9384586161736859
generalization,linear,smooth,0.15,power,0.5,120,100,150,150,1.0,0.9750297556319235,1.0
generalization,linear,nonlinear,0.0,typeI,0.5,120,100,150,150,1.0,0.9750297556319235,1.0
generalization,linear,nonlinear,0.15,power,0.5,120,100,150,150,1.0,0.9750297556319235,1.0
generalization,linear,large_n,0.0,typeI,0.5,160,160,73,80,0.9125,0.8302320449152499,0.9569679982179401
generalization,linear,large_n,0.15,power,0.5,160,160,80,80,1.0,0.9541818704644728,0.9999999999999999
generalization,linear,heavy_tail,0.0,typeI,0.5,120,100,128,150,0.8533333333333334,0.7879153994391072,0.9011056278741189
generalization,linear,heavy_tail,0.15,power,0.5,120,100,150,150,1.0,0.9750297556319235,1.0
generalization,linear,smooth,0.0,typeI,0.65,120,100,146,150,0.9733333333333334,0.9334461094878556,0.989582059177032
generalization,linear,smooth,0.15,power,0.65,120,100,150,150,1.0,0.9750297556319235,1.0
generalization,linear,nonlinear,0.0,typeI,0.65,120,100,150,150,1.0,0.9750297556319235,1.0
generalization,linear,nonlinear,0.15,power,0.65,120,100,150,150,1.0,0.9750297556319235,1.0
generalization,linear,large_n,0.0,typeI,0.65,160,160,80,80,1.0,0.9541818704644728,0.9999999999999999
generalization,linear,large_n,0.15,power,0.65,160,160,80,80,1.0,0.9541818704644728,0.9999999999999999
generalization,linear,heavy_tail,0.0,typeI,0.65,120,100,145,150,0.9666666666666667,0.9243482038212211,0.9856795681019074
generalization,linear,heavy_tail,0.15,power,0.65,120,100,150,150,1.0,0.9750297556319235,1.0
generalization,linear,smooth,0.0,typeI,0.8,120,100,150,150,1.0,0.9750297556319235,1.0
generalization,linear,smooth,0.15,power,0.8,120,100,150,150,1.0,0.9750297556319235,1.0
generalization,linear,nonlinear,0.0,typeI,0.8,120,100,150,150,1.0,0.9750297556319235,1.0
generalization,linear,nonlinear,0.15,power,0.8,120,100,150,150,1.0,0.9750297556319235,1.0
generalization,linear,large_n,0.0,typeI,0.8,160,160,80,80,1.0,0.9541818704644728,0.9999999999999999
generalization,linear,large_n,0.15,power,0.8,160,160,80,80,1.0,0.9541818704644728,0.9999999999999999
generalization,linear,heavy_tail,0.0,typeI,0.8,120,100,147,150,0.98,0.9428533167296139,0.9931752486770326
generalization,linear,heavy_tail,0.15,power,0.8,120,100,150,150,1.0,0.9750297556319235,1.0
generalization,linear,smooth,0.0,typeI,0.9,120,100,150,150,1.0,0.9750297556319235,1.0
generalization,linear,smooth,0.15,power,0.9,120,100,150,150,1.0,0.9750297556319235,1.0
generalization,linear,nonlinear,0.0,typeI,0.9,120,100,150,150,1.0,0.9750297556319235,1.0
generalization,linear,nonlinear,0.15,power,0.9,120,100,150,150,1.0,0.9750297556319235,1.0
generalization,linear,large_n,0.0,typeI,0.9,160,160,80,80,1.0,0.9541818704644728,0.9999999999999999
