setting,regime,metric,seed,N,T,reject,statistic,product_mean,cluster_se
deployed,smooth,typeI,70830,120,100,0,-2.6778769854564124,-0.011033840527633046,0.004120368705343071
deployed,smooth,typeI,70831,120,100,0,1.2468574021006513,0.004240142277851385,0.0034006633562970196
deployed,smooth,typeI,70832,120,100,0,1.1359876369574955,0.004638947878654575,0.004083625321028161
deployed,smooth,typeI,70833,120,100,0,1.5389668587993524,0.006150616288702937,0.003996587875518924
deployed,smooth,typeI,70834,120,100,0,-2.075858346100286,-0.008465321917915321,0.004077986310490935
deployed,smooth,typeI,70835,120,100,0,0.5555790312179064,0.0024735769574802716,0.0044522503883162165
deployed,smooth,typeI,70836,120,100,0,1.0590183206992796,0.0042326630739680056,0.0039967798396284004
deployed,smooth,typeI,70837,120,100,0,1.3397322996914245,0.005399589993728356,0.004030349940038038
deployed,smooth,typeI,70838,120,100,0,0.3966884339166317,0.0018645880589593213,0.004700384229884514
deployed,smooth,typeI,70839,120,100,1,1.7247200810437027,0.007666309041343368,0.004444958417080731
deployed,smooth,typeI,70840,120,100,0,-0.5704273271900087,-0.0026198079820891193,0.004592711213529333
deployed,smooth,typeI,70841,120,100,0,-0.2129341973830672,-0.0008461158172392388,0.0039736023036125185
deployed,smooth,typeI,70842,120,100,0,-0.12252395677133669,-0.0005095682273308585,0.004158927288659576
deployed,smooth,typeI,70843,120,100,0,-0.739976450891115,-0.003376201078087926,0.004562579084810257
deployed,smooth,typeI,70844,120,100,0,0.0353035095775719,0.0001492402938571201,0.004227350074903927
deployed,smooth,typeI,70845,120,100,0,1.4686362693212176,0.005728941535167243,0.003900857996524269
deployed,smooth,typeI,70846,120,100,0,-1.7081290789306762,-0.007091484934072535,0.004151609513323167
deployed,smooth,typeI,70847,120,100,0,1.0656913864518998,0.004553721480183481,0.004273020818292044
deployed,smooth,typeI,70848,120,100,1,2.5045793531862763,0.011052200066717772,0.004412796924424606
deployed,smooth,typeI,70849,120,100,0,1.20427458091459,0.0044759466331300915,0.003716716024787984
deployed,smooth,typeI,70850,120,100,0,1.3256731702316862,0.0058901168033854675,0.00444311383503074
deployed,smooth,typeI,70851,120,100,0,0.2555337923114598,0.0011446285689279433,0.00447936282154339
deployed,smooth,typeI,70852,120,100,0,0.5035875832534014,0.0022088372244261764,0.004386202714046479
deployed,smooth,typeI,70853,120,100,0,-0.35806985339104036,-0.0014870975420550243,0.004153093392173948
deployed,smooth,typeI,70854,120,100,0,0.07010747259818528,0.0002817554724570132,0.004018907856967965
deployed,smooth,typeI,70855,120,100,0,-1.3205469465254067,-0.005193165404203781,0.003932586734510211
deployed,smooth,typeI,70856,120,100,0,0.06634752376842427,0.00028310738115139365,0.004267037638654548
deployed,smooth,power,75707,120,100,1,3.661493542943699,0.015991330547102733,0.004367433769730567
deployed,smooth,power,75708,120,100,1,5.00593045913142,0.02338612250305219,0.004671683455049417
deployed,smooth,power,75709,120,100,1,4.539203748152198,0.01856142291096378,0.004089136320113344
deployed,smooth,power,75710,120,100,1,3.166380171384247,0.014563901053106499,0.004599542779078102
deployed,smooth,power,75711,120,100,1,3.434885116906078,0.014291809391902527,0.004160782356754819
deployed,smooth,power,75712,120,100,1,5.61593818355713,0.02032874110384887,0.003619829926791085
deployed,smooth,power,75713,120,100,1,4.568576226628366,0.021053074004130253,0.004608235248745654
deployed,smooth,power,75714,120,100,1,3.8153892882370606,0.017643456560016875,0.004624287386456759
deployed,smooth,power,75715,120,100,1,4.266663575974498,0.017924062172334325,0.0042009551147328275
deployed,smooth,power,75716,120,100,1,3.444584267275441,0.01327573720178484,0.0038540898325258657
deployed,smooth,power,75717,120,100,1,4.486599688755193,0.020132787296248948,0.004487315270561788
deployed,smooth,power,75718,120,100,1,4.17671732677122,0.017020979586871845,0.0040752050606282664
deployed,smooth,power,75719,120,100,1,3.702052369609908,0.01671491404274894,0.004515039868144874
deployed,smooth,power,75720,120,100,1,2.7513111906110534,0.011262334217442563,0.0040934425214696445
deployed,smooth,power,75721,120,100,1,2.736608627020427,0.013014381392019167,0.004755660441730392
deployed,smooth,power,75722,120,100,1,4.598416587493437,0.020941953257067113,0.004554166169725482
deployed,smooth,power,75723,120,100,1,3.50089934281482,0.015785680727690737,0.004509035873907363
deployed,smooth,power,75724,120,100,1,4.760825951651262,0.020902188803439234,0.004390454306818219
deployed,smooth,power,75725,120,100,1,3.707387182243572,0.01552241692321694,0.0041868885444609405
deployed,smooth,power,75726,120,100,1,4.144610665619963,0.018980557451919403,0.0045795754977338106
