design,signal,training_rows,validation_pairs,groups,peers,replications_max,rejections_max,rate_max,wilson_low_max,wilson_high_max,normal_rejections_max,budget_failures_max,coverage_failures_max,mean_bias_budget_max,mean_sampling_radius_max,mean_lower_bound_max,mean_p_max,target_max,total_observations_max,replications_weighted,rejections_weighted,rate_weighted,wilson_low_weighted,wilson_high_weighted,normal_rejections_weighted,budget_failures_weighted,coverage_failures_weighted,mean_bias_budget_weighted,mean_sampling_radius_weighted,mean_lower_bound_weighted,mean_p_weighted,target_weighted,total_observations_weighted
eight_rare,0.5,32,512,100,64,1000,0,0.0,2.1684043449710093e-19,0.0038267584855551,1000,0,0,0.3259651450124134,0.0244078504502575,-0.3155089304380187,1.0,0.0273102040816326,7456,1000,0,0.0,2.1684043449710093e-19,0.0038267584855551,1000,0,0,0.1952306723382941,0.0244078504502575,-0.1847744577638995,1.0,0.0273102040816326,7456
eight_rare,0.5,32,512,400,64,1000,0,0.0,2.1684043449710093e-19,0.0038267584855551,1000,0,0,0.3259651450124134,0.0122039252251287,-0.3032766719958341,1.0,0.0273102040816326,26656,1000,0,0.0,2.1684043449710093e-19,0.0038267584855551,1000,0,0,0.1952306723382941,0.0122039252251287,-0.1725421993217148,1.0,0.0273102040816326,26656
eight_rare,0.5,32,8192,100,64,1000,0,0.0,2.1684043449710093e-19,0.0038267584855551,1000,0,0,0.253806115582558,0.0244078504502575,-0.2433499010081633,1.0,0.0273102040816326,22816,1000,0,0.0,2.1684043449710093e-19,0.0038267584855551,1000,0,0,0.0363602589354513,0.0244078504502575,-0.0259040443610567,0.93984359842376,0.0273102040816326,22816
eight_rare,0.5,32,8192,400,64,1000,0,0.0,2.1684043449710093e-19,0.0038267584855551,1000,0,0,0.253806115582558,0.0122039252251287,-0.2311176425659786,1.0,0.0273102040816326,42016,1000,10,0.01,0.0054407544455292,0.0183094688703147,1000,0,0,0.0363602589354513,0.0122039252251287,-0.013671785918872,0.8364252216742681,0.0273102040816326,42016
eight_rare,0.5,512,512,100,64,1000,0,0.0,2.1684043449710093e-19,0.0038267584855551,1000,0,0,0.4739036864879519,0.0211662512498741,-0.4673543928088097,1.0,0.0273102040816326,7936,1000,0,0.0,2.1684043449710093e-19,0.0038267584855551,1000,0,0,0.1385819752796691,0.0211662512498741,-0.1320326816005268,1.0,0.0273102040816326,7936
eight_rare,0.5,512,512,400,64,1000,0,0.0,2.1684043449710093e-19,0.0038267584855551,1000,0,0,0.4739036864879519,0.010583125624937,-0.4567665739256717,1.0,0.0273102040816326,27136,1000,0,0.0,2.1684043449710093e-19,0.0038267584855551,1000,0,0,0.1385819752796691,0.010583125624937,-0.1214448627173889,1.0,0.0273102040816326,27136
eight_rare,0.5,512,8192,100,64,1000,0,0.0,2.1684043449710093e-19,0.0038267584855551,1000,0,0,0.2409294178415588,0.0211662512498741,-0.2343801241624165,1.0,0.0273102040816326,23296,1000,10,0.01,0.0054407544455292,0.0183094688703147,1000,0,0,0.0122049763605587,0.0211662512498741,-0.0056556826814164,0.2072862144544624,0.0273102040816326,23296
eight_rare,0.5,512,8192,400,64,1000,0,0.0,2.1684043449710093e-19,0.0038267584855551,1000,0,0,0.2409294178415588,0.010583125624937,-0.2237923052792786,1.0,0.0273102040816326,42496,1000,993,0.993,0.9856216845342334,0.9966051315990092,1000,0,0,0.0122049763605587,0.010583125624937,0.0049321362017215,0.0045423149850459,0.0273102040816326,42496
eight_rare,0.5,8192,512,100,64,1000,0,0.0,2.1684043449710093e-19,0.0038267584855551,1000,0,0,0.4482879247903958,0.0188145469363947,-0.4397753518922138,1.0,0.0273102040816326,15616,1000,0,0.0,2.1684043449710093e-19,0.0038267584855551,1000,0,0,0.1330608911229056,0.0188145469363947,-0.1245483182247236,1.0,0.0273102040816326,15616
eight_rare,0.5,8192,512,400,64,1000,0,0.0,2.1684043449710093e-19,0.0038267584855551,1000,0,0,0.4482879247903958,0.0094072734681973,-0.4303660233857198,1.0,0.0273102040816326,34816,1000,0,0.0,2.1684043449710093e-19,0.0038267584855551,1000,0,0,0.1330608911229056,0.0094072734681973,-0.1151389897182295,1.0,0.0273102040816326,34816
eight_rare,0.5,8192,8192,100,64,1000,0,0.0,2.1684043449710093e-19,0.0038267584855551,1000,0,0,0.1664228256602122,0.0188145469363947,-0.1579102527620302,1.0,0.0273102040816326,30976,1000,397,0.397,0.3671245856007024,0.4276637266473219,1000,0,0,0.0089225386876434,0.0188145469363947,-0.0004099657894614,0.0596164229131063,0.0273102040816326,30976
