replication,seed,condition,clusters,reject,fold_scheme,lag,n,periods,calendar_gaps,mean_product,standard_error,statistic,p_one_sided,inference_status,nuisance_r2
48,202609058430048,independent_forecast_null,100,False,contiguous,0,8000,100,0,0.0030976695373828252,0.008289480891936821,0.3736867938734172,0.35431867583182275,computed,-0.012594527721515814
49,202609058430049,independent_forecast_null,100,False,contiguous,0,8000,100,0,-0.0005587114216310605,0.0076853331239544465,-0.07269840000684037,0.5289769391042035,computed,-0.011667744843447236
50,202609058430050,independent_forecast_null,100,False,contiguous,0,8000,100,0,0.0014920190660591467,0.008347057679720802,0.17874790414878897,0.4290678264013022,computed,-0.01305106556164426
51,202609058430051,independent_forecast_null,100,False,contiguous,0,8000,100,0,-6.789813360384955e-05,0.00835619166489705,-0.008125487821094164,0.503241564970743,computed,-0.01789065409873669
52,202609058430052,independent_forecast_null,100,False,contiguous,0,8000,100,0,0.0029577111799536197,0.009749202044218681,0.3033798219114307,0.38080021064721686,computed,-0.01645758751797577
53,202609058430053,independent_forecast_null,100,False,contiguous,0,8000,100,0,0.0033092520152654963,0.008847414973948099,0.37403603482032277,0.3541887534303966,computed,-0.013375049866123812
54,202609058430054,independent_forecast_null,100,True,contiguous,0,8000,100,0,0.012955735763653982,0.007615914952827827,1.7011397637579255,0.044458372834016276,computed,-0.01551964219000923
55,202609058430055,independent_forecast_null,100,False,contiguous,0,8000,100,0,-0.004592055707806497,0.008082791277012794,-0.5681274636976165,0.7150257897226672,computed,-0.012769815475195845
56,202609058430056,independent_forecast_null,100,False,contiguous,0,8000,100,0,-0.0027102495573645574,0.00866168656854497,-0.3129009039887064,0.6228220246206871,computed,-0.014241030660915754
57,202609058430057,independent_forecast_null,100,False,contiguous,0,8000,100,0,0.0027520019726237897,0.008295597742214394,0.3317424564380072,0.37004186940004224,computed,-0.012100057488825922
58,202609058430058,independent_forecast_null,100,False,contiguous,0,8000,100,0,-0.01100912792356803,0.009059340301688713,-1.215224018189919,0.8878596688809532,computed,-0.01573909098896964
59,202609058430059,independent_forecast_null,100,False,contiguous,0,8000,100,0,0.013106579870949937,0.008806852971671834,1.488225125718418,0.06834576659219921,computed,-0.014230332494385323
60,202609058430060,independent_forecast_null,100,False,contiguous,0,8000,100,0,-0.00881797540771816,0.008156420038538597,-1.0811085459127598,0.8601755837945969,computed,-0.015052501866663182
61,202609058430061,independent_forecast_null,100,False,contiguous,0,8000,100,0,-0.009210311149682397,0.008591013456135464,-1.0720866864787235,0.8581594509339358,computed,-0.010856549152163497
62,202609058430062,independent_forecast_null,100,False,contiguous,0,8000,100,0,0.007854217932604112,0.008471779825418958,0.9271036422639436,0.176936362626133,computed,-0.01361017479819382
63,202609058430063,independent_forecast_null,100,False,contiguous,0,8000,100,0,-0.0032014401012719633,0.007968996801608506,-0.40173690377511095,0.6560611689352465,computed,-0.012209524786196857
64,202609058430064,independent_forecast_null,100,False,contiguous,0,8000,100,0,0.008924055282236883,0.009087609462909724,0.9820025077727677,0.16304930637767784,computed,-0.015310360674466228
65,202609058430065,independent_forecast_null,100,False,contiguous,0,8000,100,0,0.00432214180428724,0.00792953329019282,0.5450688768319856,0.29285307361332646,computed,-0.014843137112115379
66,202609058430066,independent_forecast_null,100,False,contiguous,0,8000,100,0,0.0050410054359136865,0.007470824205492752,0.6747589418858769,0.24991446495386233,computed,-0.009231181114727871
67,202609058430067,independent_forecast_null,100,False,contiguous,0,8000,100,0,0.002382102579023291,0.00885424867604622,0.2690349758831256,0.3939513838539759,computed,-0.010818601687348606
