model,left_q,left_term,right_q,right_term,hac_covariance
Past price and calendar,32,joint_fit_shift,32,forecast_fit_shift,-1.2528630125953561e-06
Past price and calendar,32,joint_fit_shift,32,joint_fit_shift,5.8373055548030898e-07
Croston SBA,8,outcome_fit_shift,8,outcome_fit_shift,8.4252043103830986e-06
Croston SBA,8,outcome_fit_shift,8,forecast_fit_shift,-5.2596415392977867e-06
Croston SBA,8,outcome_fit_shift,8,joint_fit_shift,-3.3071295149482732e-07
Croston SBA,8,outcome_fit_shift,12,outcome_fit_shift,5.6489714503700721e-06
Croston SBA,8,outcome_fit_shift,12,forecast_fit_shift,-2.4571581351579181e-06
Croston SBA,8,outcome_fit_shift,12,joint_fit_shift,2.6256794047848118e-07
Croston SBA,8,outcome_fit_shift,16,outcome_fit_shift,6.6056292729536399e-06
Croston SBA,8,outcome_fit_shift,16,forecast_fit_shift,-5.692752144914871e-06
Croston SBA,8,outcome_fit_shift,16,joint_fit_shift,1.0527735473875156e-06
Croston SBA,8,outcome_fit_shift,24,outcome_fit_shift,5.5549449805722462e-06
Croston SBA,8,outcome_fit_shift,24,forecast_fit_shift,-5.9111288304199587e-06
Croston SBA,8,outcome_fit_shift,24,joint_fit_shift,8.6481803449876175e-07
Croston SBA,8,outcome_fit_shift,32,outcome_fit_shift,5.9728941101764065e-06
Croston SBA,8,outcome_fit_shift,32,forecast_fit_shift,-6.2072083001689014e-06
Croston SBA,8,outcome_fit_shift,32,joint_fit_shift,1.3808243980458545e-06
Croston SBA,8,forecast_fit_shift,8,outcome_fit_shift,-5.2596415392977867e-06
Croston SBA,8,forecast_fit_shift,8,forecast_fit_shift,3.8718794415449569e-06
Croston SBA,8,forecast_fit_shift,8,joint_fit_shift,2.9612843574163402e-07
Croston SBA,8,forecast_fit_shift,12,outcome_fit_shift,-3.3661514149446558e-06
Croston SBA,8,forecast_fit_shift,12,forecast_fit_shift,1.7358048981098142e-06
Croston SBA,8,forecast_fit_shift,12,joint_fit_shift,-1.3244763087789052e-07
Croston SBA,8,forecast_fit_shift,16,outcome_fit_shift,-3.9941065320420154e-06
Croston SBA,8,forecast_fit_shift,16,forecast_fit_shift,4.1742895930521093e-06
Croston SBA,8,forecast_fit_shift,16,joint_fit_shift,-6.7449618553889559e-07
Croston SBA,8,forecast_fit_shift,24,outcome_fit_shift,-3.280392034404543e-06
Croston SBA,8,forecast_fit_shift,24,forecast_fit_shift,4.3358555510579028e-06
Croston SBA,8,forecast_fit_shift,24,joint_fit_shift,-5.6345758287339161e-07
Croston SBA,8,forecast_fit_shift,32,outcome_fit_shift,-3.4816294967325112e-06
Croston SBA,8,forecast_fit_shift,32,forecast_fit_shift,4.440263178135447e-06
