domain,model,configuration,evaluation_rows,family_size,beta,lag,frequency,calendar_direction,mean_product,standard_error,statistic,raw_statistic,standard_error_abstain,calendar_gaps,observed_groups,original_policy_abstain,original_guard_reason,forecast_pooled_fallback_rows,outcome_pooled_fallback_rows,forecast_unseen_entity_rows,outcome_unseen_entity_rows,cohort_sha256,guard_reason,normal_p_one_sided,guarded_p,BY_adjusted_p,final_label
ratings,SVD (40 factors),complementary_middle,7212,10,2,0,cluster,False,0.049309771396270463,0.0060815474416296362,8.1080961497946014,8.1080961497946014,False,0,168,False,none,0,0,0,0,57d505e90caac55bd3eec2cdbc640cb18291d68483dee03a7368e2cf5aac17de,no_guard,2.5709521584878317e-16,2.5709521584878317e-16,1.8825593136705044e-15,RETAIN
ratings,SVD (40 factors),directional_middle,7212,10,2,0,cluster,False,0.04066304632245147,0.0066767106564570482,6.0902813398280529,6.0902813398280529,False,0,168,False,none,0,0,2404,2110,57d505e90caac55bd3eec2cdbc640cb18291d68483dee03a7368e2cf5aac17de,no_guard,5.6356217149530175e-10,5.6356217149530175e-10,4.1266392736178787e-09,RETAIN
ratings,SVD (40 factors),directional_all,12088,10,2,0,cluster,False,0.040048187041270028,0.0047791193258382896,8.3798257190921479,8.3798257190921479,False,0,279,False,none,2060,2816,2757,2335,57d505e90caac55bd3eec2cdbc640cb18291d68483dee03a7368e2cf5aac17de,no_guard,2.6503065731987376e-17,2.6503065731987376e-17,1.940665954045623e-16,RETAIN
ratings,SVD interaction,complementary_all,12088,10,2,0,cluster,False,0.23013257810045332,0.016924449717117054,13.597640215604869,13.597640215604869,False,0,279,False,none,0,0,0,0,57d505e90caac55bd3eec2cdbc640cb18291d68483dee03a7368e2cf5aac17de,no_guard,2.0678143707153241e-42,2.0678143707153241e-42,6.0565626469245268e-41,RETAIN
ratings,SVD interaction,complementary_middle,7212,10,2,0,cluster,False,0.23146157375581902,0.02281704884566255,10.14423799157616,10.14423799157616,False,0,168,False,none,0,0,0,0,57d505e90caac55bd3eec2cdbc640cb18291d68483dee03a7368e2cf5aac17de,no_guard,1.7575546939125393e-24,1.7575546939125393e-24,2.5739109515413596e-23,RETAIN
ratings,SVD interaction,directional_middle,7212,10,2,0,cluster,False,0.16786599137737182,0.025168656180332236,6.6696445839070586,6.6696445839070586,False,0,168,False,none,0,0,2404,2110,57d505e90caac55bd3eec2cdbc640cb18291d68483dee03a7368e2cf5aac17de,no_guard,1.2821182553991347e-11,1.2821182553991347e-11,1.8776418339486138e-10,RETAIN
ratings,SVD interaction,directional_all,12088,10,2,0,cluster,False,0.17304933246736093,0.017686605354395781,9.7842027342093498,9.7842027342093498,False,0,279,False,none,2060,2816,2757,2335,57d505e90caac55bd3eec2cdbc640cb18291d68483dee03a7368e2cf5aac17de,no_guard,6.5814272825636967e-23,6.5814272825636967e-23,9.638395788214809e-22,RETAIN
ratings,Slope One,complementary_all,12088,10,2,0,cluster,False,0.029485022165744893,0.0041084736779808404,7.1766365022047962,7.1766365022047962,False,0,279,False,none,0,0,0,0,57d505e90caac55bd3eec2cdbc640cb18291d68483dee03a7368e2cf5aac17de,no_guard,3.5723657265706614e-13,3.5723657265706614e-13,1.7438909674482836e-12,RETAIN
ratings,Slope One,complementary_middle,7212,10,2,0,cluster,False,0.033389535120234508,0.0058662941018106105,5.6917594891686303,5.6917594891686303,False,0,168,False,none,0,0,0,0,57d505e90caac55bd3eec2cdbc640cb18291d68483dee03a7368e2cf5aac17de,no_guard,6.2868442288642064e-09,6.2868442288642064e-09,3.0689945273311312e-08,RETAIN
ratings,Slope One,directional_middle,7212,10,2,0,cluster,False,0.028706663656420592,0.0060713418641610249,4.7282238916367554,4.7282238916367554,False,0,168,False,none,0,0,2404,2110,57d505e90caac55bd3eec2cdbc640cb18291d68483dee03a7368e2cf5aac17de,no_guard,1.1324617831419203e-06,1.1324617831419203e-06,5.5282410194249426e-06,RETAIN
