baseline,method,week,start,mse,mae
seasonal_24h,direct__ridge_lags_calendar,1,2018-09-15 00:00:00,87191.72085273573,206.89984726155404
seasonal_24h,direct__ridge_lags_calendar,2,2018-09-22 00:00:00,59142.27025231685,160.1143416989232
seasonal_24h,direct__ridge_lags_calendar,3,2018-09-29 00:00:00,148302.69730473417,234.7172431883425
seasonal_24h,direct__ridge_lags_calendar,4,2018-10-06 00:00:00,78577.76054796486,195.72285977964978
seasonal_24h,direct__ridge_lags_calendar,5,2018-10-13 00:00:00,47420.68026935925,140.70824672347885
seasonal_24h,direct__ridge_lags_calendar,6,2018-10-20 00:00:00,45271.98516111548,133.0159257427227
seasonal_24h,direct__ridge_lags_calendar,7,2018-10-27 00:00:00,33812.815789826935,120.23737732452346
seasonal_24h,direct__ridge_lags_calendar,8,2018-11-03 00:00:00,73006.14504915154,183.70657987060306
seasonal_24h,direct__ridge_lags_calendar,9,2018-11-10 00:00:00,42560.897616414346,143.7894727847016
seasonal_24h,direct__ridge_lags_calendar,10,2018-11-17 00:00:00,23964.216468776838,97.07167470933199
seasonal_24h,direct__ridge_lags_calendar,11,2018-11-24 00:00:00,19473.847305823983,88.70016203336729
seasonal_24h,convex__ridge_lags_calendar,0,2018-09-08 00:00:00,57541.924983510806,154.76890349461064
seasonal_24h,convex__ridge_lags_calendar,1,2018-09-15 00:00:00,87191.72085273573,206.899847261554
seasonal_24h,convex__ridge_lags_calendar,2,2018-09-22 00:00:00,59142.27025231685,160.1143416989232
seasonal_24h,convex__ridge_lags_calendar,3,2018-09-29 00:00:00,148302.69730473417,234.7172431883425
seasonal_24h,convex__ridge_lags_calendar,4,2018-10-06 00:00:00,78577.76054796486,195.72285977964978
seasonal_24h,convex__ridge_lags_calendar,5,2018-10-13 00:00:00,47420.68026935925,140.70824672347885
seasonal_24h,convex__ridge_lags_calendar,6,2018-10-20 00:00:00,45271.98516111548,133.0159257427227
seasonal_24h,convex__ridge_lags_calendar,7,2018-10-27 00:00:00,33812.815789826935,120.23737732452346
seasonal_24h,convex__ridge_lags_calendar,8,2018-11-03 00:00:00,73006.14504915154,183.70657987060306
seasonal_24h,convex__ridge_lags_calendar,9,2018-11-10 00:00:00,42560.897616414346,143.7894727847016
seasonal_24h,convex__ridge_lags_calendar,10,2018-11-17 00:00:00,23964.216468776838,97.07167470933199
seasonal_24h,convex__ridge_lags_calendar,11,2018-11-24 00:00:00,19473.847305823983,88.70016203336729
seasonal_24h,augment__ridge_lags_calendar,0,2018-09-08 00:00:00,59093.07889569047,158.00294062387542
seasonal_24h,augment__ridge_lags_calendar,1,2018-09-15 00:00:00,92358.38238907872,224.89928370125588
seasonal_24h,augment__ridge_lags_calendar,2,2018-09-22 00:00:00,58343.89710611218,158.6121251431395
seasonal_24h,augment__ridge_lags_calendar,3,2018-09-29 00:00:00,139979.61300993804,242.24133194810426
seasonal_24h,augment__ridge_lags_calendar,4,2018-10-06 00:00:00,77599.07172537126,203.5947442169129
seasonal_24h,augment__ridge_lags_calendar,5,2018-10-13 00:00:00,47761.36211627911,144.62576135299142
seasonal_24h,augment__ridge_lags_calendar,6,2018-10-20 00:00:00,45134.937861265884,134.85610303455616
seasonal_24h,augment__ridge_lags_calendar,7,2018-10-27 00:00:00,32886.66721895605,122.0419730878941
seasonal_24h,augment__ridge_lags_calendar,8,2018-11-03 00:00:00,71802.86085854025,188.38552077758877
seasonal_24h,augment__ridge_lags_calendar,9,2018-11-10 00:00:00,39304.87404823742,141.79681371198666
seasonal_24h,augment__ridge_lags_calendar,10,2018-11-17 00:00:00,24200.275356989325,99.93995341852658
seasonal_24h,augment__ridge_lags_calendar,11,2018-11-24 00:00:00,19122.194018106282,88.10898508901963
seasonal_24h,gated__ridge_lags_calendar,0,2018-09-08 00:00:00,123582.47857186744,254.80931674521278
seasonal_24h,gated__ridge_lags_calendar,1,2018-09-15 00:00:00,738105.0102376825,702.4722182775482
seasonal_24h,gated__ridge_lags_calendar,2,2018-09-22 00:00:00,370511.82136194134,435.47807872266753
seasonal_24h,gated__ridge_lags_calendar,3,2018-09-29 00:00:00,1020798.1436144083,881.7510930427161
seasonal_24h,gated__ridge_lags_calendar,4,2018-10-06 00:00:00,470289.19431684486,516.0022962153325
seasonal_24h,gated__ridge_lags_calendar,5,2018-10-13 00:00:00,89790.71292540307,217.18030556113337
seasonal_24h,gated__ridge_lags_calendar,6,2018-10-20 00:00:00,152929.98279385825,290.93002875504203
seasonal_24h,gated__ridge_lags_calendar,7,2018-10-27 00:00:00,94161.03819114513,230.46390296143232
seasonal_24h,gated__ridge_lags_calendar,8,2018-11-03 00:00:00,656623.6300204407,706.341748650623
